time,FEC0,FEC1,FEC2,FEC3
20251001/0243_03,189.0936430382468,274.19390653529166,201.75553537284,193.92206011959718
20251001/0244_23,188.9735204415145,273.9499358279952,201.92649014722028,193.67488808817424
20251001/0247_58,188.7340943601362,273.5518277566287,202.2786712796106,193.19444989384468
20251001/0255_40,188.7959230222617,274.4761165391617,202.2942872864497,193.43237509346056
20251001/0257_00,188.80662928410158,274.63616654479506,202.296991356898,193.47357426222518
